Wetland,Season,pH_probe,Biomass,NearestCropDistance_m,Julian,PercentAg,Buffered,WaterQuality,Diversity,InvertPesticideDetection,Permanence,PrecipitationAmount_7days,DaysSinceLastPrecipitation_5mm,AnnualSnowfall_in,EnvDetection,TDS_mg.L,Salinity_ppt,Conductivity_uS.cm
Arndt,Fall,8.43,0.0042,5,227,0.622309198,N,-1.100419261,3,N,Seasonal,2.1,2,29.9,N,283,0.2,391
Baluski,Fall,9.43,1.4147,260,213,0.177777778,Y,-0.025905285,8,N,Permanent,0.78,0,72,N,2410,1.7,3310
Batsch,Fall,9.14,0.2205,15,235,0.428018576,N,0.40363314,7,Y,Semipermanent,0.07,10,105,Y,3240,2.28,4550
Beaudoin_2,Fall,9.12,0.0728,185,206,0.194562447,Y,1.274901468,4,Y,Semipermanent,0.08,13,72,Y,4970,3.45,7000
Brandon,Fall,9.9,0.331,130,202,0.215455476,Y,-0.214372877,8,Y,Permanent,0.18,13,52.3,Y,2020,1.41,2880
Buffalo,Fall,9.12,3.0793,570,193,0.069126074,Y,-0.628787555,6,N,Permanent,0.17,18,31.3,N,1210,0.85,1700
Chrisanne,Fall,9.57,0.0569,10,192,0.684895833,N,-0.861808899,6,N,Seasonal,0.05,13,17,N,749,0.53,1056
Dockter,Fall,9.19,0.0877,75,215,0.418930762,Y,4.221098383,6,Y,Permanent,0.41,2,83,Y,10000,7.85,15780
Doug,Fall,8.93,0.214,5,206,0.706199461,N,0.635238917,5,Y,Semipermanent,0.46,5,42.1,Y,3690,2.6,5200
Doug_2,Fall,8.88,0.0649,10,208,0.739242369,N,0.73857108,6,Y,Permanent,0.46,7,42.1,Y,3900,2.74,5480
Dowitcher,Fall,9,0.0909,35,207,0.375607124,Y,-0.302606098,4,Y,Permanent,0.05,32,63,Y,1800,1.27,2750
Drangsholt,Fall,8.9,0.0175,20,192,0.852112676,N,-1.088143814,6,Y,Semipermanent,0.05,12,17,Y,294,0.22,441
FirstGerman,Fall,8.35,0.0267,180,210,0.344370861,Y,4.205193676,4,Y,Semipermanent,0.11,17,65.5,Y,10000,7.88,15580
Gerald,Fall,8.53,0.1529,110,214,0.216216216,Y,1.781180849,4,Y,Permanent,0.61,1,42.1,Y,5900,4.14,8530
Glinz,Fall,8.13,0.2656,40,240,0.676997245,N,-0.618378239,4,Y,Semipermanent,0.02,15,91.1,Y,1250,0.89,1645
Grain,Fall,9.16,0.2094,5,193,0.556203164,N,-0.693878833,5,Y,Permanent,0.01,8,35,Y,1060,0.76,1557
Hanson,Fall,8.93,0.0111,15,202,0.641634456,N,0.914168728,4,N,Permanent,0.18,13,52.3,N,4240,2.98,5980
Hausauer,Fall,8.72,0.0233,15,216,0.693265007,N,1.801250657,5,N,Permanent,0.86,0,83,N,5970,4.2,8470
Henne,Fall,8.88,0.085,20,208,0.48020219,N,1.191193328,7,Y,Permanent,0.46,7,42.1,Y,4780,3.36,6760
Hieb,Fall,7.96,0.0715,5,215,0.771398747,N,-0.955211016,7,N,Permanent,0.71,2,83,N,565,0.4,800
Hovde,Fall,7.56,0.1615,120,206,0.518162393,Y,-1.093387991,5,N,Seasonal,0.46,5,42.1,N,292,0.21,418
Huesers.F,Fall,9.47,0.1829,20,210,0.756883815,N,-0.505036993,4,Y,Permanent,0.43,6,76.8,Y,1450,1.02,2050
Joan,Fall,7.93,0.1784,20,208,0.81278962,N,1.957190118,3,Y,Semipermanent,0.08,15,72,Y,6290,4.42,8870
Killdeer,Fall,8.87,0.0133,150,198,0.325141777,Y,-1.086414849,3,N,Semipermanent,0.26,5,42.1,N,312,0.22,426
Leavitt,Fall,9.74,0.0162,3,194,0.914078675,N,-0.900140368,3,N,Seasonal,0.07,14,17,N,689,0.46,958
Lies,Fall,8.32,0.0364,25,213,0.901328273,N,0.424062928,5,N,Semipermanent,0.42,2,72,N,3270,2.3,4640
Lostwood,Fall,9.95,0.5399,160,195,0.094929245,Y,-0.883003657,7,N,Semipermanent,0.43,6,52.3,N,706,0.5,1001
Maier,Fall,8.64,0.0237,50,216,0.332284456,N,5.183352156,3,N,Semipermanent,0.86,3,83,N,10000,10,19990
Muske,Fall,7.43,0.0706,0.5,239,0.482093664,N,-1.13535075,2,Y,Seasonal,0.03,14,80.2,Y,213,0.15,300
Opp,Fall,8.82,0.0233,20,224,0.347671233,N,1.074501913,1,N,Permanent,0.84,3,105,N,4500,3.24,6440
Orluck,Fall,9.03,0.3851,5,199,0.585152838,N,5.183352156,4,Y,Permanent,0.26,6,72,Y,10000,10,19990
Pasture,Fall,9.41,0.0023,1022,193,0.048638132,Y,1.503992756,1,NA,Seasonal,0.43,4,52.3,N,5300,3.82,7730
Richard,Fall,9.28,0.0643,15,200,0.391171994,N,0.404270248,3,N,Permanent,0.26,7,42.1,N,1350,3.07,6160
Rodger,Fall,9.98,0.1046,1,198,0.72781655,N,-0.997935859,5,Y,Seasonal,0.05,9,52.3,Y,482,0.34,682
Scallon,Fall,7.05,0.0351,15,227,0.344366645,N,-1.036159576,4,N,Seasonal,2.1,2,29.9,N,409,0.29,567
Schuer,Fall,8.99,0.087,5,200,0.638423645,N,4.199229531,6,N,Permanent,0.26,7,72,N,10000,8.14,15010
Sjostrom,Fall,8.8,0.1488,15,224,0.724774581,N,-0.740050675,8,N,Permanent,1.25,3,91.1,N,1380,0.97,194
Ternes,Fall,7.86,0.0114,760,221,0.015086207,Y,-0.961226795,5,N,Seasonal,0.94,0,83,N,553,0.39,787
Uhlich,Fall,8.45,0.0163,15,221,0.567768038,N,3.2765007,4,N,Semipermanent,1.15,4,72,N,8900,6.25,12480
US_WPA,Fall,9.67,0.3706,50,202,0.281001833,N,5.183352156,6,Y,Permanent,0.18,13,52.3,Y,10000,10,19990
USGS_Lab,Fall,7.95,0.2277,700,238,0.008780488,Y,-0.805131992,4,N,Seasonal,0.04,12,91.1,N,859,0.62,1192
Violet,Fall,9.22,0.0762,660,195,0.017051153,Y,-1.00554345,4,N,Seasonal,0.43,6,52.3,N,467,0.33,660
Abrahamson,Spring,7.76,0.3167,50,123,0.200828,N,-1.206769918,6,NA,Temporary,0.18,13,83,N,73.4,0.05,103.6
Anderson,Spring,8.66,0.0333,920,113,0.05434,Y,0.374164577,5,NA,Semipermanent,0.47,2,42.1,Y,3150,2.15,4700
Beaudoin,Spring,8.58,0,193,131,0.20489,Y,-0.603765206,0,NA,Seasonal,0.71,3,72,N,1260,0.88,1777
Belcourt,Spring,9.54,0,0,113,0.39759,N,-1.165121001,0,NA,Temporary,0.63,2,53,Y,157,0.1,231
Billadeau,Spring,8.8,0.0041,0,122,0.808044,N,-1.165867789,2,NA,Seasonal,0.07,11,72,N,146,0.11,223
Brewster,Spring,8.72,0.0344,40,120,0.503525,N,-1.049499117,2,NA,Temporary,0.18,10,83,N,387,0.26,546
Fechle,Spring,8.08,0.0193,0,120,0.655172,N,-1.130818181,2,NA,Temporary,0.18,10,83,N,219,0.16,310
Finneseth,Spring,7.37,0,0,112,0.808156,N,-1.140898809,0,NA,Temporary,0.33,2,55.1,Y,210,0.14,276
Foulweiler,Spring,8.47,0,0,115,0.788441,N,-1.130251376,0,NA,Temporary,0.63,4,53,Y,219,0.16,315
Hansen,Spring,7.4,0.002,760,126,0.064351,Y,-1.185365772,1,NA,Temporary,0,8,42.1,Y,115,0.08,162.8
Hauf,Spring,8.02,0.002,20,123,0.582027,N,-0.893716863,1,N,Temporary,0.07,12,72,Y,696,0.47,983
Haugen,Spring,8.17,0.0138,0,131,0.542628,N,-1.171493009,1,N,Temporary,0.82,4,63,N,142,0.1,200
