Individual,Site,Season,Age,Fat,Permanence,PlasmaDetection,Species,PercentAg,BCI,Julian,Mass,OverallNeonic,Uric,Biomass,MigStatus,Diversity,EnvDetection,FatteningIndex,time_hours
1232-00547,RoadWPA,Spring,NA,0,Permanent,Y,Killdeer,36.0244233,0.109875698,114,97.4,0.3,620,0.2456,Resident,4,Y,0.667492588,17.78333333
1603-40801,RoadWPA,Spring,NA,1,Permanent,N,Greater Yellowlegs,36.0244233,-9.02E-17,114,148.7,0,593,0.2456,Migratory,4,Y,0.83849791,16.16666667
1232-00548,RoadWPA,Spring,NA,0,Permanent,N,Killdeer,36.0244233,0.024518958,115,87.8,0,1473,0.2456,Resident,4,Y,0.322303893,16.5
1232-00549,Huesers,Spring,NA,0,Permanent,N,Killdeer,75.1006711,0.363950909,120,124.6,0,795,0.1084,Resident,5,Y,3.239434702,16.66666667
1094-71901,Huesers,Spring,NA,1,Permanent,N,Willet,75.1006711,-0.087857541,121,237.5,0,NA,0.1084,Resident,5,Y,NA,16.5
1232-00550,Huesers,Spring,NA,0,Permanent,N,Longbilled Dowitcher,75.1006711,-0.025935464,122,102.6,0,405,0.1084,Migratory,5,Y,0.202231745,12.5
1094-71902,RoadWPA,Spring,NA,0,Permanent,Y,Willet,36.0244233,-0.122256364,123,228.1,0.8,1232,0.2456,Resident,4,Y,-0.436961601,14.5
1094-71903,RoadWPA,Spring,NA,1,Permanent,Y,Willet,36.0244233,0.198686658,123,318.8,0.35,996,0.2456,Resident,4,Y,0.595426432,17.83333333
1232-00551,RoadWPA,Spring,NA,0,Permanent,N,Longbilled Dowitcher,36.0244233,-0.037127369,123,100,0,1103,0.2456,Migratory,4,Y,0.488977831,10.25
1232-00552,RoadWPA,Spring,NA,0,Permanent,N,Longbilled Dowitcher,36.0244233,-0.100312576,123,93.6,0,660,0.2456,Migratory,4,Y,1.333682159,17.83333333
1232-00553,RoadWPA,Spring,NA,0,Permanent,N,Longbilled Dowitcher,36.0244233,0.090154572,123,111.2,0,1439,0.2456,Migratory,4,Y,1.489787385,19.5
1232-00554,RoadWPA,Spring,NA,0,Permanent,N,Longbilled Dowitcher,36.0244233,0.049438946,123,110,0,1322,0.2456,Migratory,4,Y,1.458336561,20.66666667
1232-00555,Huesers,Spring,NA,1,Permanent,N,Longbilled Dowitcher,75.1006711,0.023781891,128,104.7,0,1332,0.1084,Migratory,5,Y,1.420265446,14.78333333
1232-00556,Huesers,Spring,NA,0,Permanent,N,Wilsons Phalarope,75.1006711,0.053626636,128,60.2,0,843,0.1084,Resident,5,Y,-0.311919792,16.75
1094-71904,Huesers,Spring,NA,0,Permanent,Y,Willet,75.1006711,-0.077779742,129,234.6,1.325,NA,0.1084,Resident,5,Y,NA,11.58333333
1232-00557,Huesers,Spring,NA,0,Permanent,N,Wilsons Phalarope,75.1006711,-0.297484337,129,42.1,0,409,0.1084,Resident,5,Y,-0.976198981,14
1232-00558,Huesers,Spring,NA,0,Permanent,N,Killdeer,75.1006711,-0.028374374,129,83.5,0,389,0.1084,Resident,5,Y,-0.694673424,18.36666667
1341-36533,Huesers,Spring,NA,0,Permanent,N,Least Sandpiper,75.1006711,-0.157228658,129,15.9,0,NA,0.1084,Migratory,5,Y,NA,16.25
1094-71905,Huesers,Spring,NA,1,Permanent,N,Willet,75.1006711,0.339393304,130,359,0,499,0.1084,Resident,5,Y,3.418455637,11.28333333
1232-00559,Huesers,Spring,NA,0,Permanent,N,Killdeer,75.1006711,0.14326923,130,99.4,0,504,0.1084,Resident,5,Y,0.009455167,15.3
1341-36534,Huesers,Spring,NA,0,Permanent,N,Least Sandpiper,75.1006711,-0.012201513,130,18,0,NA,0.1084,Migratory,5,Y,NA,9.916666667
1341-36535,Huesers,Spring,NA,1,Permanent,N,Least Sandpiper,75.1006711,-0.088753954,130,17.2,0,1233,0.1084,Migratory,5,Y,-2.278522621,16.96666667
